,version,method,run,n_epochs,best_train,best_val,best_train_ep,best_val_ep,target_val,target_ep,target_reached,std_train,std_val,target_swa_epochs,best_swa_epochs,last_swa_epochs
70,1,vanilla,7,50,0.0006497682350483246,0.0005251014086534269,49,41,0.0027153938501141965,13,True,0.023392526074924397,0.01336542084825981,"[11, 12, 13]","[39, 40, 41]","[48, 49, 50]"
71,1,vanilla,8,50,0.0005753491867742524,0.0005029692117241211,50,46,0.0027153938501141965,8,True,0.021628413516041035,0.010154712646761118,"[6, 7, 8]","[44, 45, 46]","[48, 49, 50]"
72,1,vanilla,9,50,0.0004982815062763487,0.0006913958881050349,50,47,0.0027153938501141965,11,True,0.022276425379857693,0.010138681919793419,"[9, 10, 11]","[45, 46, 47]","[48, 49, 50]"
73,1,vanilla,10,50,0.00047018029201753076,0.0009558074999367818,50,48,0.0027153938501141965,23,True,0.021683032220621516,0.014249550480430527,"[21, 22, 23]","[46, 47, 48]","[48, 49, 50]"
74,1,vanilla,11,50,0.0006540803828776428,0.0008588925616350025,50,43,0.0027153938501141965,13,True,0.022431694115819842,0.011059826305155543,"[11, 12, 13]","[41, 42, 43]","[48, 49, 50]"
75,1,vanilla,12,50,0.0006328007420411379,0.0012101448382018133,50,21,0.0027153938501141965,10,True,0.022440642824714738,0.011327309326000694,"[8, 9, 10]","[19, 20, 21]","[48, 49, 50]"
76,1,vanilla,13,50,0.0004639985730371824,0.0006153676493559033,50,50,0.0027153938501141965,11,True,0.02216449265387464,0.010529283031196197,"[9, 10, 11]","[48, 49, 50]","[48, 49, 50]"
77,1,vanilla,14,50,0.0004865165626652902,0.0006915321618434973,49,43,0.0027153938501141965,9,True,0.02105328591038008,0.010610306770469173,"[7, 8, 9]","[41, 42, 43]","[48, 49, 50]"
78,1,vanilla,15,50,0.000620130553001129,0.0010278804793488233,49,43,0.0027153938501141965,16,True,0.02357376314751816,0.01284302980177994,"[14, 15, 16]","[41, 42, 43]","[48, 49, 50]"
79,1,vanilla,16,50,0.00046014565138271217,0.000772797298617661,50,40,0.0027153938501141965,18,True,0.022851440480356568,0.012906863278726702,"[16, 17, 18]","[38, 39, 40]","[48, 49, 50]"
